title,category,link,date,companyCode
FinancialStatement-2021-Tahunan-AGRS.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AGRS/FinancialStatement-2021-Tahunan-AGRS.pdf,2022-04-22,AGRS
FinancialStatement-2021-Tahunan-AHAP.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AHAP/FinancialStatement-2021-Tahunan-AHAP.pdf,2022-10-12,AHAP
FinancialStatement-2021-Tahunan-AIMS.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AIMS/FinancialStatement-2021-Tahunan-AIMS.pdf,2022-04-20,AIMS
FinancialStatement-2021-Tahunan-AISA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AISA/FinancialStatement-2021-Tahunan-AISA.pdf,2022-04-28,AISA
FinancialStatement-2021-Tahunan-AKKU.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AKKU/FinancialStatement-2021-Tahunan-AKKU.pdf,2022-05-27,AKKU
FinancialStatement-2021-Tahunan-AKPI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AKPI/FinancialStatement-2021-Tahunan-AKPI.pdf,2022-04-07,AKPI
FinancialStatement-2021-Tahunan-AKRA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AKRA/FinancialStatement-2021-Tahunan-AKRA.pdf,2022-03-22,AKRA
FinancialStatement-2021-Tahunan-AKSI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AKSI/FinancialStatement-2021-Tahunan-AKSI.pdf,2022-04-28,AKSI
FinancialStatement-2021-Tahunan-ALDO.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ALDO/FinancialStatement-2021-Tahunan-ALDO.pdf,2022-03-17,ALDO
FinancialStatement-2021-Tahunan-ALKA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ALKA/FinancialStatement-2021-Tahunan-ALKA.pdf,2022-04-19,ALKA
FinancialStatement-2021-Tahunan-ALMI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ALMI/FinancialStatement-2021-Tahunan-ALMI.pdf,2022-03-17,ALMI
FinancialStatement-2021-Tahunan-ALTO.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ALTO/FinancialStatement-2021-Tahunan-ALTO.pdf,2022-05-09,ALTO
FinancialStatement-2021-Tahunan-AMAG.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AMAG/FinancialStatement-2021-Tahunan-AMAG.pdf,2022-03-29,AMAG
FinancialStatement-2021-Tahunan-AMAN.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AMAN/FinancialStatement-2021-Tahunan-AMAN.pdf,2022-04-29,AMAN
FinancialStatement-2021-Tahunan-AMAR.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AMAR/FinancialStatement-2021-Tahunan-AMAR.pdf,2022-04-09,AMAR
FinancialStatement-2021-Tahunan-AMFG.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AMFG/FinancialStatement-2021-Tahunan-AMFG.pdf,2022-03-30,AMFG
FinancialStatement-2021-Tahunan-AMIN.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AMIN/FinancialStatement-2021-Tahunan-AMIN.pdf,2022-05-30,AMIN
FinancialStatement-2021-Tahunan-AMOR.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AMOR/FinancialStatement-2021-Tahunan-AMOR.pdf,2022-09-02,AMOR
FinancialStatement-2021-Tahunan-AMRT.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/AMRT/FinancialStatement-2021-Tahunan-AMRT.pdf,2022-04-01,AMRT
FinancialStatement-2021-Tahunan-ANDI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ANDI/FinancialStatement-2021-Tahunan-ANDI.pdf,2022-04-25,ANDI
FinancialStatement-2021-Tahunan-ANJT.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ANJT/FinancialStatement-2021-Tahunan-ANJT.pdf,2022-03-17,ANJT
FinancialStatement-2021-Tahunan-ANTM.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ANTM/FinancialStatement-2021-Tahunan-ANTM.pdf,2022-03-16,ANTM
FinancialStatement-2021-Tahunan-APEX.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/APEX/FinancialStatement-2021-Tahunan-APEX.pdf,2022-04-08,APEX
FinancialStatement-2021-Tahunan-APIC.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/APIC/FinancialStatement-2021-Tahunan-APIC.pdf,2022-04-28,APIC
FinancialStatement-2021-Tahunan-APII.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/APII/FinancialStatement-2021-Tahunan-APII.pdf,2022-04-04,APII
